Título Original,Duración,Género,Sinopsis
Coco,109,"Animación, Fantástico, Comedia, Drama","Miguel es un joven con el sueño de convertirse en leyenda de la música a pesar de la prohibición de su familia. Su ídolo es Ernesto de la Cruz, el músico y cantante más famoso de México. La pasión de Miguel le llevará a adentrarse en la ""Tierra de los Muertos"", donde conocerá su verdadero legado familiar. (FILMAFFINITY)"
Joker,121,"Thriller, Drama","Arthur Fleck (Phoenix) vive en Gotham con su madre, y su única motivación en la vida es hacer reír a la gente. Actúa haciendo de payaso en pequeños trabajos, pero tiene problemas mentales que hacen que la gente le vea como un bicho raro. Su gran sueño es actuar como cómico delante del público, pero una serie de trágicos acontecimientos le hará ir incrementando su ira contra una sociedad que le ignora. (FILMAFFINITY)"
Gisaengchung,132,"Intriga, Comedia, Drama, Thriller","Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles. (FILMAFFINITY)"
Spider-Man: Across the Spider-Verse,140,"Animación, Acción, Aventuras, Ciencia ficción","Tras reencontrarse con Gwen Stacy, el amigable vecindario de Spider-Man de Brooklyn al completo es catapultado a través del Multiverso, donde se encuentra con un equipo de Spidermans encargados de proteger su propia existencia. Pero cuando los héroes se enfrentan sobre cómo manejar una nueva amenaza, Miles se encuentra enfrentado a las otras Arañas y debe redefinir lo que significa ser un héroe para poder salvar a la gente que más quiere. (FILMAFFINITY)"
Interstellar,169,"Ciencia ficción, Drama, Aventuras","Al ver que la vida en la Tierra está llegando a su fin, un grupo de exploradores dirigidos por el piloto Cooper (McConaughey) y la científica Amelia (Hathaway) emprende una misión que puede ser la más importante de la historia de la humanidad: viajar más allá de nuestra galaxia para descubrir algún planeta en otra que pueda garantizar el futuro de la raza humana. (FILMAFFINITY)"
Black Mirror: White Christmas,74,"Ciencia ficción, Drama","Matt Trent (Jon Hamm) y Joe Potter (Rafe Spall) están pasando unos días en un lugar remoto en medio de un paraje asolado por la nieve. El día de Navidad, Matt prepara la tradicional comida navideña, mientras que la canción ""I Wish It Could Be Christmas Everyday"" suena por la radio. Entonces, un extraño impulso empuja a Matt a explicar a Joe la razón por la que descubrió el lugar remoto en el que se encuentran ahora, un tema que nunca habían discutido en los cinco años que llevan ahí. Aunque Joe tiene algunas dudas, Matt no titubea a la hora de exponer sus razones... Especial de ""Black Mirror"" donde tres historias provocadoras e inquietantes se entrelazan. (FILMAFFINITY)"
Capharnaüm,126,Drama,"Ante un tribunal, Zain, un niño de 12 años, declara ante el juez. -¿Por qué has demandado a tus propios padres? -Por darme la vida."
Whiplash,103,Drama,"El objetivo de Andrew Neiman (Miles Teller), un joven y ambicioso baterista de jazz, es triunfar en el elitista Conservatorio de Música de la Costa Este. Marcado por el fracaso de la carrera literaria de su padre, Andrew alberga sueños de grandeza. Terence Fletcher (J.K. Simmons), un profesor conocido tanto por su talento como por sus rigurosos métodos de enseñanza, dirige el mejor conjunto de jazz del Conservatorio. Cuando Fletcher elige a Andrew para formar parte del grupo, la vida del joven cambiará. (FILMAFFINITY)"
Inside Out,94,"Animación, Fantástico, Aventuras, Comedia","Riley es una chica que disfruta o padece toda clase de sentimientos. Aunque su vida ha estado marcada por la Alegría, también se ve afectada por otro tipo de emociones. Lo que Riley no entiende muy bien es por qué motivo tiene que existir la Tristeza en su vida. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley. (FILMAFFINITY)"
Kimi no Na wa. (Your Name.),106,"Animación, Drama, Romance, Fantástico","Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico. (FILMAFFINITY)"
1917,119,"Bélico, Drama","En lo más crudo de la Primera Guerra Mundial, dos jóvenes soldados británicos, Schofield (George MacKay) y Blake (Dean-Charles Chapman) reciben una misión aparentemente imposible. En una carrera contrarreloj, deberán atravesar el territorio enemigo para entregar un mensaje que evitará un mortífero ataque contra cientos de soldados, entre ellos el propio hermano de Blake."
The Father,97,Drama,"Anthony (Anthony Hopkins), un hombre de 80 años mordaz, algo travieso y que tercamente ha decidido vivir solo, rechaza todos y cada uno de las cuidadoras que su hija Anne (Olivia Colman) intenta contratar para que le ayuden en casa. Está desesperada porque ya no puede visitarle a diario y siente que la mente de su padre empieza a fallar y se desconecta cada vez más de la realidad. Anne sufre la paulatina pérdida de su padre a medida que la mente de éste se deteriora, pero también se aferra al derecho a vivir su propia vida. (FILMAFFINITY)"
Relatos salvajes,119,"Comedia, Drama","La película consta de seis episodios que alternan la intriga, la comedia y la violencia. Sus personajes se verán empujados hacia el abismo y hacia el innegable placer de perder el control, cruzando la delgada línea que separa la civilización de la barbarie. (FILMAFFINITY)"
Room,118,Drama,"Para Jack, un niño de cinco años, la habitación es el mundo entero, el lugar donde nació, donde come, juega y aprende con su madre. Por la noche, mamá lo pone a dormir en el armario, por si viene el viejo Nick. La habitación es el hogar de Jack, mientras que para su madre es el cubículo donde lleva siete años encerrada, secuestrada desde los diecinueve años. Con gran tesón e ingenio, la joven ha creado en ese reducido espacio una vida para su hijo, y su amor por él es lo único que le permite soportar lo insoportable. Sin embargo, la curiosidad de Jack va en aumento, a la par que la desesperación de su madre, que sabe que la habitación no podrá contener ambas cosas por mucho más tiempo. (FILMAFFINITY)"
As bestas,137,"Thriller, Drama","Antoine y Olga son una pareja francesa que se instaló hace tiempo en una aldea del interior de Galicia. Allí llevan una vida tranquila, aunque su convivencia con los lugareños no es tan idílica como desearían. Un conflicto con sus vecinos, los hermanos Anta, hará que la tensión crezca en la aldea hasta alcanzar un punto de no retorno."
Ah-ga-ssi (The Handmaiden),145,"Thriller, Drama, Romance","Corea, década de 1930, durante la colonización japonesa. La resuelta joven Sookee es contratada como criada de una rica mujer japonesa, Hideko, que vive recluida en una gran mansión bajo la influencia de su dominante tío. Pero Sookee está allí con un propósito secreto: ayudar a un estafador que se hace pasar por un conde japonés para seducir a Hideko y heredar después la fortuna de su tío. (FILMAFFINITY)"
Oppenheimer,180,"Drama, Thriller","En tiempos de guerra, el brillante físico estadounidense Julius Robert Oppenheimer (Cillian Murphy), al frente del ""Proyecto Manhattan"", lidera los ensayos nucleares para construir la bomba atómica para su país. Impactado por su poder destructivo, Oppenheimer se cuestiona las consecuencias morales de su creación. Desde entonces y el resto de su vida, se opondría firmemente al uso de armas nucleares."
Spider-Man: Into the Spider-Verse,117,"Animación, Aventuras, Acción, Fantástico","En un universo paralelo donde Peter Parker ha muerto, un joven de secundaria llamado Miles Morales es el nuevo Spider-Man. Sin embargo, cuando el líder mafioso Wilson Fisk (a.k.a Kingpin) construye el ""Super Colisionador"" trae a una versión alternativa de Peter Parker que tratará de enseñarle a Miles como ser un mejor Spider-Man. Pero no será el único Spider Man en entrar a este universo, 4 versiones alternas de Spidey aparecerán y buscarán regresar a su universo antes de que toda la realidad colapse."
"Three Billboards Outside Ebbing, Missouri",112,"Thriller, Drama","Mildred Hayes (Frances McDormand), una mujer de 50 años cuya hija adolescente ha sido violada y asesinada, decide iniciar por su cuenta una guerra contra la Policía de su pueblo, Ebbing, al considerar que no hacen lo suficiente para resolver el caso y que se haga justicia. Su primer paso será contratar unas vallas publicitarias denunciando la situación y señalando al jefe de policía, William Willoughby (Woody Harrelson), como responsable principal de la pasividad policial. (FILMAFFINITY)"
Prisoners,153,"Thriller, Drama","Keller Dover se enfrenta a la peor de las pesadillas: Anna, su hija de seis años, ha desaparecido con su amiga Joy y, a medida que pasa el tiempo, el pánico lo va dominando. Desesperado, decide ocuparse personalmente del asunto. Pero, ¿hasta dónde está dispuesto a llegar para averiguar el paradero de su hija?"
Wolfwalkers,103,"Animación, Fantástico, Aventuras","En una época en la que reinan la superstición y la magia, los lobos están considerados como una fuerza demoníaca que debe ser eliminada. Robyn es una joven aprendiz que viaja hasta Irlanda junto a su padre para erradicar al último grupo de lobeznos que conoce, pero la situación cambia cuando Robyn salva a Mebh. Su amistad la lleva a conocer el mundo de los denominados ""Wolfwalkers"", transformándose en aquello que su padre la ha mandado a destruir."
