Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
Coco,Coco,2017,109,"Animación, Fantástico, Comedia, Drama",Estados Unidos,"8,0",53.934,"Lee Unkrich, Adrián Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau","Miguel es un joven con el sueño de convertirse en leyenda de la música a pesar de la prohibición de su familia. Su ídolo es Ernesto de la Cruz, el músico y cantante más famoso de México. La pasión de Miguel le llevará a adentrarse en la ""Tierra de los Muertos"", donde conocerá su verdadero legado familiar. (FILMAFFINITY)",https://www.filmaffinity.com/es/film893369.html
Joker,Joker,2019,121,"Thriller, Drama",Estados Unidos,"8,0",70.870,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Bill Camp, Shea Whigham, Dante Pereira-Olson","Arthur Fleck (Phoenix) vive en Gotham con su madre, y su única motivación en la vida es hacer reír a la gente. Actúa haciendo de payaso en pequeños trabajos, pero tiene problemas mentales que hacen que la gente le vea como un bicho raro. Su gran sueño es actuar como cómico delante del público, pero una serie de trágicos acontecimientos le hará ir incrementando su ira contra una sociedad que le ignora. (FILMAFFINITY)",https://www.filmaffinity.com/es/film520214.html
Parásitos,Gisaengchung,2019,132,"Intriga, Comedia, Drama, Thriller",Corea del Sur,"8,0",61.739,Bong Joon-ho,"Song Kang-ho, Lee Sun-Kyun, Jang Hye-jin, Cho Yeo-jeong, Choi Woo-sik, Park So-dam, Park Seo-joon, Lee Jung-eun","Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles. (FILMAFFINITY)",https://www.filmaffinity.com/es/film520465.html
Spider-Man: Cruzando el Multiverso,Spider-Man: Across the Spider-Verse,2023,140,"Animación, Acción, Aventuras, Ciencia ficción",Estados Unidos,"7,9",10.674,"Joaquim Dos Santos, Kemp Powers, Justin Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Jake Johnson, Oscar Isaac, Jason Schwartzman","Tras reencontrarse con Gwen Stacy, el amigable vecindario de Spider-Man de Brooklyn al completo es catapultado a través del Multiverso, donde se encuentra con un equipo de Spidermans encargados de proteger su propia existencia. Pero cuando los héroes se enfrentan sobre cómo manejar una nueva amenaza, Miles se encuentra enfrentado a las otras Arañas y debe redefinir lo que significa ser un héroe para poder salvar a la gente que más quiere. (FILMAFFINITY)",https://www.filmaffinity.com/es/film213653.html
Interstellar,Interstellar,2014,169,"Ciencia ficción, Drama, Aventuras",Estados Unidos,"7,9",102.357,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, David Gyasi, Jessica Chastain, Mackenzie Foy, Matt Damon, Michael Caine, John Lithgow","Al ver que la vida en la Tierra está llegando a su fin, un grupo de exploradores dirigidos por el piloto Cooper (McConaughey) y la científica Amelia (Hathaway) emprende una misión que puede ser la más importante de la historia de la humanidad: viajar más allá de nuestra galaxia para descubrir algún planeta en otra que pueda garantizar el futuro de la raza humana. (FILMAFFINITY)",https://www.filmaffinity.com/es/film704416.html
Black Mirror: Blanca Navidad (TV),Black Mirror: White Christmas,2014,74,"Ciencia ficción, Drama",Reino Unido,"7,9",28.997,Carl Tibbetts,"Jon Hamm, Rafe Spall, Rasmus Hardiker, Oona Chaplin, Natalia Tena, Janet Montgomery, Ken Drury, Robin Weaver","Matt Trent (Jon Hamm) y Joe Potter (Rafe Spall) están pasando unos días en un lugar remoto en medio de un paraje asolado por la nieve. El día de Navidad, Matt prepara la tradicional comida navideña, mientras que la canción ""I Wish It Could Be Christmas Everyday"" suena por la radio. Entonces, un extraño impulso empuja a Matt a explicar a Joe la razón por la que descubrió el lugar remoto en el que se encuentran ahora, un tema que nunca habían discutido en los cinco años que llevan ahí. Aunque Joe tiene algunas dudas, Matt no titubea a la hora de exponer sus razones... Especial de ""Black Mirror"" donde tres historias provocadoras e inquietantes se entrelazan. (FILMAFFINITY)",https://www.filmaffinity.com/es/film992177.html
Cafarnaúm,Capharnaüm,2018,126,Drama,Líbano,"7,8",8.822,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Kawthar Al Haddad, Fadi Kamel Youssef, Cedra Izam, Boluwatife Treasure Bankole, Alaa Chouchnieh, Nour el Husseini","Ante un tribunal, Zain, un niño de 12 años, declara ante el juez. -¿Por qué has demandado a tus propios padres? -Por darme la vida.",https://www.filmaffinity.com/es/film867213.html
Whiplash,Whiplash,2014,103,Drama,Estados Unidos,"7,8",65.973,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Jayson Blair, Kavita Patil, Kofi Siriboe","El objetivo de Andrew Neiman (Miles Teller), un joven y ambicioso baterista de jazz, es triunfar en el elitista Conservatorio de Música de la Costa Este. Marcado por el fracaso de la carrera literaria de su padre, Andrew alberga sueños de grandeza. Terence Fletcher (J.K. Simmons), un profesor conocido tanto por su talento como por sus rigurosos métodos de enseñanza, dirige el mejor conjunto de jazz del Conservatorio. Cuando Fletcher elige a Andrew para formar parte del grupo, la vida del joven cambiará. (FILMAFFINITY)",https://www.filmaffinity.com/es/film206955.html
Del revés (Inside Out),Inside Out,2015,94,"Animación, Fantástico, Aventuras, Comedia",Estados Unidos,"7,8",81.576,"Pete Docter, Ronaldo Del Carmen","Amy Poehler, Phyllis Smith, Lewis Black, Bill Hader, Mindy Kaling, Kaitlyn Dias, Richard Kind","Riley es una chica que disfruta o padece toda clase de sentimientos. Aunque su vida ha estado marcada por la Alegría, también se ve afectada por otro tipo de emociones. Lo que Riley no entiende muy bien es por qué motivo tiene que existir la Tristeza en su vida. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley. (FILMAFFINITY)",https://www.filmaffinity.com/es/film135623.html
Your Name.,Kimi no Na wa. (Your Name.),2016,106,"Animación, Drama, Romance, Fantástico",Japón,"7,8",27.120,Makoto Shinkai,,"Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico. (FILMAFFINITY)",https://www.filmaffinity.com/es/film307521.html
